Age,Attrition,Attrition 1/0,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender, HourlyRate ,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus, MonthlyIncome ,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureRatio,overtimr binary,Age grouping
38,No,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male, $45 ,3,1,Research Scientist,4,Single," $3,944.00 ","$4,306.00",5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,0.5,1,30-40
24,No,0,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female, $96 ,4,2,Manufacturing Director,3,Divorced," $4,011.00 ","$8,232.00",0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,0.8,0,<30
36,Yes,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male, $82 ,2,1,Sales Representative,1,Single," $3,407.00 ","$6,986.00",7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,0.5,0,30-40
34,No,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female, $53 ,3,3,Research Director,2,Single," $11,994.00 ","$21,293.00",0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,0.9,0,30-40
21,No,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male, $96 ,3,1,Research Scientist,4,Single," $1,232.00 ","$19,281.00",1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,0,0,<30
34,Yes,1,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male, $83 ,3,1,Research Scientist,1,Single," $2,960.00 ","$17,102.00",2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,0.5,0,30-40
53,No,0,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female, $58 ,3,5,Manager,3,Divorced," $19,094.00 ","$10,735.00",4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,0.5,0,>50
32,Yes,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female, $72 ,1,1,Research Scientist,1,Single," $3,919.00 ","$4,681.00",1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,1,1,30-40
42,No,0,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male, $48 ,3,2,Sales Executive,2,Married," $6,825.00 ","$21,173.00",0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,0.9,0,41-50
44,No,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female, $42 ,2,3,Healthcare Representative,4,Married," $10,248.00 ","$2,094.00",3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,0.9,0,41-50
46,No,0,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female, $83 ,3,5,Manager,1,Single," $18,947.00 ","$22,822.00",3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,0.1,0,41-50
33,No,0,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male, $78 ,3,1,Laboratory Technician,4,Single," $2,496.00 ","$6,670.00",4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,0.1,0,30-40
44,No,0,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male, $41 ,3,2,Healthcare Representative,4,Married," $6,465.00 ","$19,121.00",2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,0.4,1,41-50
30,No,0,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male, $83 ,2,1,Laboratory Technician,3,Single," $2,206.00 ","$16,117.00",1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,1,0,30-40
39,Yes,1,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male, $56 ,3,2,Sales Representative,4,Married," $2,086.00 ","$3,335.00",3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,0.1,0,30-40
24,Yes,1,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male, $61 ,3,1,Research Scientist,4,Married," $2,293.00 ","$3,020.00",2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,0.3,1,<30
43,No,0,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female, $72 ,4,1,Research Scientist,3,Divorced," $2,645.00 ","$21,923.00",1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,0.8,0,41-50
50,Yes,1,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male, $86 ,2,1,Sales Representative,3,Married," $2,683.00 ","$3,810.00",1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,1,1,41-50
35,No,0,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female, $97 ,3,1,Sales Representative,4,Married," $2,014.00 ","$9,687.00",1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,1,0,30-40
36,No,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female, $82 ,2,1,Research Scientist,1,Married," $3,419.00 ","$13,072.00",9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,0.2,1,30-40
33,No,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female, $42 ,4,2,Sales Executive,1,Married," $5,376.00 ","$3,193.00",2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,0.5,0,30-40
35,No,0,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male, $75 ,3,1,Laboratory Technician,4,Divorced," $1,951.00 ","$10,910.00",1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,1,0,30-40
27,No,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female, $33 ,3,1,Laboratory Technician,1,Divorced," $2,341.00 ","$19,715.00",1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,1,0,<30
26,Yes,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male, $48 ,1,1,Laboratory Technician,3,Single," $2,293.00 ","$10,558.00",1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,1,0,<30
27,No,0,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male, $37 ,3,3,Sales Executive,3,Single," $8,726.00 ","$2,975.00",1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,1,0,<30
30,No,0,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female, $58 ,3,2,Laboratory Technician,4,Single," $4,011.00 ","$10,781.00",1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,1,0,30-40
41,Yes,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female, $49 ,3,5,Research Director,3,Married," $19,545.00 ","$16,280.00",1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,1,0,41-50
34,No,0,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male, $72 ,3,2,Sales Executive,3,Single," $4,568.00 ","$10,034.00",0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,0.9,0,30-40
37,No,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male, $73 ,3,1,Research Scientist,2,Married," $3,022.00 ","$10,227.00",4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,0.1,0,30-40
46,No,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male, $98 ,3,2,Sales Executive,4,Single," $5,772.00 ","$20,445.00",4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,0.6,1,41-50
35,No,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male, $36 ,4,1,Laboratory Technician,4,Married," $2,269.00 ","$4,892.00",1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,1,0,30-40
48,Yes,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male, $98 ,2,3,Laboratory Technician,3,Single," $5,381.00 ","$19,294.00",9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,0,1,41-50
28,Yes,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male, $50 ,3,1,Laboratory Technician,3,Single," $3,441.00 ","$11,179.00",1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,1,1,<30
44,No,0,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female, $75 ,3,2,Sales Executive,1,Divorced," $5,454.00 ","$4,009.00",5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,0.4,1,41-50
35,No,0,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male, $79 ,2,3,Healthcare Representative,1,Married," $9,884.00 ","$8,302.00",2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,0.4,1,30-40
26,No,0,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female, $47 ,2,2,Sales Executive,4,Married," $4,157.00 ","$21,436.00",7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,0.4,1,<30
33,No,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female, $98 ,3,3,Research Director,4,Single," $13,458.00 ","$15,146.00",1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,1,1,30-40
35,No,0,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male, $71 ,3,3,Sales Executive,1,Married," $9,069.00 ","$11,031.00",1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,1,0,30-40
35,No,0,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female, $30 ,3,1,Laboratory Technician,1,Married," $4,014.00 ","$16,002.00",3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,0.5,1,30-40
31,No,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male, $48 ,3,2,Laboratory Technician,4,Divorced," $5,915.00 ","$9,528.00",3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,0.7,0,30-40
37,No,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male, $51 ,2,2,Manufacturing Director,3,Divorced," $5,993.00 ","$2,689.00",1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,1,0,30-40
32,No,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male, $33 ,3,2,Manufacturing Director,4,Married," $6,162.00 ","$10,877.00",1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,1,1,30-40
38,No,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female, $50 ,3,2,Laboratory Technician,4,Single," $2,406.00 ","$5,456.00",1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,1,0,30-40
50,No,0,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female, $43 ,2,5,Research Director,3,Divorced," $18,740.00 ","$16,701.00",5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,0.9,1,41-50
59,No,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female, $99 ,3,3,Sales Executive,1,Single," $7,637.00 ","$2,354.00",7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,0.8,0,>50
36,No,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female, $59 ,3,3,Healthcare Representative,3,Divorced," $10,096.00 ","$8,202.00",1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,1,0,30-40
55,No,0,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female, $33 ,3,4,Manager,3,Divorced," $14,756.00 ","$19,730.00",2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,0.2,1,>50
36,No,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male, $95 ,2,2,Manufacturing Director,2,Single," $6,499.00 ","$22,656.00",1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,1,0,30-40
45,No,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male, $59 ,3,3,Research Scientist,1,Divorced," $9,724.00 ","$18,787.00",2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,0,0,41-50
35,No,0,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male, $79 ,3,1,Research Scientist,1,Married," $2,194.00 ","$5,868.00",4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,0.6,0,30-40
36,Yes,1,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male, $79 ,2,1,Research Scientist,3,Married," $3,388.00 ","$21,777.00",0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,0.5,1,30-40
59,No,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female, $57 ,2,2,Sales Executive,3,Single," $5,473.00 ","$24,668.00",7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,0.2,0,>50
29,No,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male, $76 ,3,1,Research Scientist,2,Married," $2,703.00 ","$4,956.00",0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,0.8,0,<30
31,No,0,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male, $87 ,3,1,Research Scientist,2,Single," $2,501.00 ","$18,775.00",1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,1,0,30-40
32,No,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male, $66 ,3,2,Research Scientist,2,Married," $6,220.00 ","$7,346.00",1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,1,0,30-40
36,No,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female, $55 ,4,1,Laboratory Technician,4,Married," $3,038.00 ","$22,002.00",3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,0.2,0,30-40
31,No,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female, $61 ,3,2,Manufacturing Director,4,Single," $4,424.00 ","$20,682.00",1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,1,0,30-40
35,No,0,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male, $32 ,2,2,Sales Executive,1,Single," $4,312.00 ","$23,016.00",0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,0.9,0,30-40
45,No,0,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male, $52 ,3,3,Research Director,1,Married," $13,245.00 ","$15,067.00",4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,0,1,41-50
37,No,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male, $30 ,3,3,Research Director,3,Single," $13,664.00 ","$25,258.00",4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,0.3,0,30-40
46,No,0,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male, $80 ,3,2,Human Resources,2,Divorced," $5,021.00 ","$10,425.00",8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,0.3,1,41-50
30,No,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male, $55 ,2,2,Laboratory Technician,4,Married," $5,126.00 ","$15,998.00",1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,1,1,30-40
35,No,0,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male, $30 ,2,1,Research Scientist,3,Single," $2,859.00 ","$26,278.00",1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,1,0,30-40
55,No,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male, $70 ,3,3,Sales Executive,4,Married," $10,239.00 ","$18,092.00",3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,0,0,>50
38,No,0,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female, $79 ,1,2,Research Scientist,4,Divorced," $5,329.00 ","$15,717.00",7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,0.8,1,30-40
34,No,0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male, $94 ,3,2,Manufacturing Director,2,Married," $4,325.00 ","$17,736.00",1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,1,0,30-40
56,No,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male, $49 ,1,3,Manufacturing Director,4,Single," $7,260.00 ","$21,698.00",4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,0.2,0,>50
23,No,0,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male, $62 ,3,1,Sales Representative,1,Divorced," $2,322.00 ","$9,518.00",3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,0,0,<30
51,No,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male, $96 ,3,1,Laboratory Technician,4,Married," $2,075.00 ","$18,725.00",3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3,0.4,0,>50
30,No,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male, $99 ,2,2,Healthcare Representative,4,Married," $4,152.00 ","$15,830.00",1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,1,0,30-40
46,Yes,1,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male, $64 ,2,3,Sales Executive,4,Single," $9,619.00 ","$13,596.00",1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,1,0,41-50
40,No,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male, $78 ,2,4,Healthcare Representative,2,Married," $13,503.00 ","$14,115.00",1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,1,0,30-40
51,No,0,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male, $71 ,3,2,Sales Executive,4,Single," $5,441.00 ","$8,423.00",0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0,0.9,1,>50
30,No,0,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female, $63 ,2,2,Sales Executive,2,Divorced," $5,209.00 ","$19,760.00",1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,1,1,30-40
46,No,0,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male, $40 ,2,3,Healthcare Representative,1,Married," $10,673.00 ","$3,142.00",2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5,0.5,1,41-50
32,No,0,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male, $87 ,3,2,Sales Executive,3,Single," $5,010.00 ","$24,301.00",1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7,0.9,0,30-40
54,No,0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female, $60 ,3,3,Research Director,3,Married," $13,549.00 ","$24,001.00",9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3,0.3,0,>50
24,No,0,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female, $33 ,3,2,Sales Executive,3,Married," $4,999.00 ","$17,519.00",0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,0.8,0,<30
28,No,0,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male, $43 ,3,2,Sales Executive,3,Married," $4,221.00 ","$8,863.00",1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,1,0,<30
58,No,0,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male, $37 ,3,4,Sales Executive,3,Single," $13,872.00 ","$24,409.00",0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,1,0,>50
44,No,0,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male, $67 ,3,2,Laboratory Technician,2,Married," $2,042.00 ","$25,043.00",4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,0.2,0,41-50
37,Yes,1,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male, $63 ,3,1,Human Resources,1,Divorced," $2,073.00 ","$23,648.00",4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,0.4,1,30-40
32,No,0,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,Male, $71 ,3,1,Research Scientist,1,Single," $2,956.00 ","$15,178.00",1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0,1,0,30-40
20,Yes,1,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female, $66 ,2,1,Laboratory Technician,4,Single," $2,926.00 ","$19,783.00",1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,1,1,<30
34,No,0,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female, $41 ,3,2,Research Scientist,3,Single," $4,809.00 ","$12,482.00",1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10,1,0,30-40
37,No,0,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,3,Male, $100 ,2,2,Healthcare Representative,4,Divorced," $5,163.00 ","$15,850.00",5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0,0.1,0,30-40
59,No,0,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140,3,Female, $32 ,2,5,Manager,4,Married," $18,844.00 ","$21,922.00",9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2,0.1,0,>50
50,No,0,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,1,Female, $73 ,3,5,Research Director,2,Married," $18,172.00 ","$9,755.00",3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7,0.3,1,41-50
25,Yes,1,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male, $46 ,2,2,Sales Executive,3,Single," $5,744.00 ","$26,959.00",1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,1,1,<30
25,No,0,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male, $64 ,2,1,Research Scientist,4,Married," $2,889.00 ","$26,897.00",1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,1,0,<30
22,No,0,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female, $59 ,3,1,Laboratory Technician,4,Single," $2,871.00 ","$23,785.00",1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,0,0,<30
51,No,0,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,1,Female, $30 ,2,3,Healthcare Representative,1,Single," $7,484.00 ","$25,796.00",3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8,0.6,0,>50
